AC No,Booth,Caste,Count,Category
80,1,Bhumij,0.6,ST
80,1,Brahmin,18.5,GEN
80,1,Jele,1,SC
80,1,Kayastha,56.33158,GEN
80,1,Kumor,0.6,GEN
80,1,Mahishya,160.0444,GEN
80,1,Muslim,17,Muslim
80,1,Namasudra,625.024,SC
80,1,Paundra,0.4,SC
80,1,Purvanchali,23.8,GEN
80,1,Rajbongshi,6.5,SC
80,1,Yadav,0.2,OBC
80,2,Bagdi,0.3,SC
80,2,Baniya,0.3,GEN
80,2,Brahmin,8.5,GEN
80,2,Hari,12,SC
80,2,Jele,2.8,SC
80,2,Karmakar,5,SC
80,2,Kayastha,35,GEN
80,2,Kumor,4.2,GEN
80,2,Lohar,12,SC
80,2,Mahishya,16.26667,GEN
80,2,Muslim,6,Muslim
80,2,Namasudra,51.66333,SC
80,2,Paundra,0.72,SC
80,2,Purvanchali,391,GEN
80,2,Rajbongshi,1,SC
80,2,Sadgope,2.4,OBC
80,2,Sunri,0.7,SC
80,2,Yadav,8.4,OBC
80,2,baishya,0.75,GEN
80,3,Kayastha,1.7,GEN
80,3,Mahishya,5.688889,GEN
80,3,Muslim,658,Muslim
80,3,Namasudra,8.611111,SC
80,4,Kayastha,0.1,GEN
80,4,Mahishya,0.4,GEN
80,4,Muslim,703,Muslim
80,4,Namasudra,0.5,SC
80,5,Mahishya,0.222222,GEN
80,5,Muslim,989,Muslim
80,5,Namasudra,1.777778,SC
80,6,Hari,1,SC
80,6,Muslim,1090,Muslim
80,6,Namasudra,0.5,SC
80,6,Rajbongshi,0.5,SC
80,7,Kayastha,0.6,GEN
80,7,Mahishya,0.4,GEN
80,7,Muslim,948,Muslim
80,7,Namasudra,1,SC
80,7,Purvanchali,1,GEN
80,8,Kayastha,0.5,GEN
80,8,Muslim,613,Muslim
80,8,Namasudra,0.5,SC
80,8,Purvanchali,3,GEN
80,9,Muslim,687,Muslim
80,10,Brahmin,2,GEN
80,10,Kayastha,25.5,GEN
80,10,Mahishya,2.666667,GEN
80,10,Muslim,483,Muslim
80,10,Namasudra,14.83333,SC
80,10,Napit,1.8,SC
80,10,Paundra,1.2,SC
80,10,Purvanchali,12,GEN
80,10,Sadgope,10,OBC
80,10,Yadav,30,OBC
80,11,Brahmin,1,GEN
80,11,Kayastha,1.2,GEN
80,11,Muslim,620,Muslim
80,11,Sadgope,0.2,OBC
80,11,Yadav,0.6,OBC
80,12,Kayastha,266.2,GEN
80,12,Mahishya,177.0222,GEN
80,12,Muslim,137,Muslim
80,12,Namasudra,1.777778,SC
80,13,Dhobi,8,SC
80,13,Kayastha,23.3,GEN
80,13,Mahishya,5.644444,GEN
80,13,Muslim,615,Muslim
80,13,Namasudra,12.81556,SC
80,13,Paundra,0.24,SC
80,14,Baniya,0.6,GEN
80,14,Brahmin,24.4,GEN
80,14,Dhobi,10,SC
80,14,Kayastha,94.6,GEN
80,14,Mahishya,7.288889,GEN
80,14,Muslim,471,Muslim
80,14,Namasudra,25.31111,SC
80,14,Napit,3.6,SC
80,14,Paundra,2.4,SC
80,14,Purvanchali,51,GEN
80,14,Rajbongshi,4,SC
80,14,Sadgope,64.6,OBC
80,14,Sunri,1.4,SC
80,14,Yadav,193.8,OBC
80,15,Hari,22,SC
80,15,Kayastha,54.6,GEN
80,15,Muslim,515,Muslim
80,15,Paundra,10,SC
80,15,Purvanchali,6,GEN
80,15,Sadgope,53,OBC
80,15,Teli,0.4,OBC
80,15,Yadav,159,OBC
80,16,Bairagi,4,SC
80,16,Baniya,24,GEN
80,16,Bhumij,0.6,ST
80,16,Brahmin,18,GEN
80,16,Hari,9,SC
80,16,Karmakar,19,SC
80,16,Kayastha,31.74211,GEN
80,16,Mahishya,70.41667,GEN
80,16,Namasudra,442.5912,SC
80,16,Napit,0.6,SC
80,16,Paundra,11.25,SC
80,16,Purvanchali,3,GEN
80,16,Sadgope,1.2,OBC
80,16,Sunri,56.5,SC
80,16,Teli,0.5,OBC
80,16,Yadav,3.6,OBC
80,17,Bhumij,1.8,ST
80,17,Brahmin,99.7,GEN
80,17,Kayastha,92.8,GEN
80,17,Mahishya,136.6778,GEN
80,17,Muslim,9,Muslim
80,17,Namasudra,475.8222,SC
80,17,Napit,1.2,SC
80,17,Paundra,2.9,SC
80,17,Purvanchali,12.8,GEN
80,17,Rajbongshi,0.5,SC
80,17,Sadgope,22.2,OBC
80,17,Yadav,66.6,OBC
80,18,Kayastha,0.6,GEN
80,18,Mahishya,0.844444,GEN
80,18,Muslim,871,Muslim
80,18,Namasudra,2.555556,SC
80,18,Purvanchali,1,GEN
80,18,Rajbongshi,1,SC
80,19,Kayastha,1.1,GEN
80,19,Mahishya,1.288889,GEN
80,19,Muslim,621,Muslim
80,19,Namasudra,9.611111,SC
80,20,Baniya,0.6,GEN
80,20,Brahmin,2,GEN
80,20,Kayastha,3.4,GEN
80,20,Kumor,0.6,GEN
80,20,Mahishya,2.133333,GEN
80,20,Muslim,940,Muslim
80,20,Namasudra,9.666667,SC
80,20,Sunri,1.4,SC
80,20,Yadav,0.2,OBC
80,21,Baniya,5.1,GEN
80,21,Brahmin,14.2,GEN
80,21,Hari,6,SC
80,21,Kayastha,163,GEN
80,21,Kumor,0.6,GEN
80,21,Mahishya,106.1778,GEN
80,21,Muslim,727,Muslim
80,21,Namasudra,24.92222,SC
80,21,Paundra,1,SC
80,21,Purvanchali,11,GEN
80,21,Rajbongshi,5.5,SC
80,21,Sadgope,1.4,OBC
80,21,Sunri,11.9,SC
80,21,Tanti,0.8,OBC
80,21,Yadav,4.4,OBC
80,22,Baniya,7.8,GEN
80,22,Bhumij,3.6,ST
80,22,Brahmin,10.5,GEN
80,22,Dhobi,23,SC
80,22,Jele,2,SC
80,22,Kayastha,46.3,GEN
80,22,Kumor,22.8,GEN
80,22,Mahishya,8.622222,GEN
80,22,Muslim,388,Muslim
80,22,Namasudra,28.57778,SC
80,22,Paundra,2.9,SC
80,22,Purvanchali,10.5,GEN
80,22,Rajbongshi,1,SC
80,22,Sadgope,12.4,OBC
80,22,Sonar,3,OBC
80,22,Sunri,19.2,SC
80,22,Teli,1.2,OBC
80,22,Yadav,44.6,OBC
80,23,Bagdi,3,SC
80,23,Bhumij,4.2,ST
80,23,Brahmin,7.8,GEN
80,23,Dhobi,6,SC
80,23,Jele,1.6,SC
80,23,Kayastha,31.8,GEN
80,23,Kumor,3,GEN
80,23,Mahishya,3.911111,GEN
80,23,Muslim,547,Muslim
80,23,Namasudra,16.48889,SC
80,23,Paundra,2.8,SC
80,23,Purvanchali,6,GEN
80,23,Rajbongshi,2,SC
80,23,Sadgope,2.8,OBC
80,23,Sunri,2.5,SC
80,23,Teli,2.9,OBC
80,23,Yadav,9.2,OBC
80,24,Badhai,2,OBC
80,24,Bagdi,0.6,SC
80,24,Bairagi,1,SC
80,24,Baniya,10.8,GEN
80,24,Bhumij,0.3,ST
80,24,Brahmin,84,GEN
80,24,Hari,5,SC
80,24,Karmakar,14,SC
80,24,Kayastha,119.9211,GEN
80,24,Kumor,10.2,GEN
80,24,Mahishya,72.92222,GEN
80,24,Muslim,14,Muslim
80,24,Nai,11,OBC
80,24,Namasudra,123.8967,SC
80,24,Napit,3,SC
80,24,Paundra,11.36,SC
80,24,Purvanchali,34.7,GEN
80,24,Rajbongshi,7.5,SC
80,24,Raju,1.2,OBC
80,24,Sadgope,3.8,OBC
80,24,Sunri,120.7,SC
80,24,Sutradhar,5,OBC
80,24,Tanti,20.8,OBC
80,24,Teli,96.7,OBC
80,24,Yadav,14.6,OBC
80,25,Bagdi,3.2,SC
80,25,Baniya,3.4,GEN
80,25,Bhumij,0.9,ST
80,25,Brahmin,39.2,GEN
80,25,Hari,4,SC
80,25,Jele,1,SC
80,25,Karmakar,1,SC
80,25,Kayastha,33.59474,GEN
80,25,Kumor,6.6,GEN
80,25,Mahishya,10,GEN
80,25,Muslim,616,Muslim
80,25,Namasudra,39.16526,SC
80,25,Napit,0.6,SC
80,25,Paundra,6.04,SC
80,25,Purvanchali,6.9,GEN
80,25,Rajbongshi,2,SC
80,25,Sonar,1,OBC
80,25,Sunri,92.1,SC
80,25,Tanti,0.8,OBC
80,25,Teli,86.5,OBC
80,25,Yadav,2,OBC
80,26,Bagdi,0.8,SC
80,26,Baniya,9.5,GEN
80,26,Bhumij,0.6,ST
80,26,Brahmin,94.2,GEN
80,26,Hari,18,SC
80,26,Jele,2,SC
80,26,Karmakar,39,SC
80,26,Kayastha,227.9211,GEN
80,26,Kumor,17.4,GEN
80,26,Mahishya,120.2944,GEN
80,26,Marwari,2,GEN
80,26,Muslim,219,Muslim
80,26,Nai,1,OBC
80,26,Namasudra,191.1545,SC
80,26,Napit,1.2,SC
80,26,Paundra,11.33,SC
80,26,Purvanchali,31.9,GEN
80,26,Rajbongshi,12,SC
80,26,Raju,1.6,OBC
80,26,Sadgope,25,OBC
80,26,Sunri,26.5,SC
80,26,Sutradhar,2,OBC
80,26,Tanti,17.6,OBC
80,26,Teli,18.4,OBC
80,26,Yadav,80.6,OBC
80,27,Baniya,3.6,GEN
80,27,Bauri,2,SC
80,27,Brahmin,70.2,GEN
80,27,Hari,9,SC
80,27,Jele,1.6,SC
80,27,Karmakar,3,SC
80,27,Kayastha,227.5474,GEN
80,27,Kumor,3,GEN
80,27,Mahishya,87.76667,GEN
80,27,Muslim,328,Muslim
80,27,Namasudra,47.98596,SC
80,27,Paundra,4.2,SC
80,27,Purvanchali,3,GEN
80,27,Rajbongshi,4.5,SC
80,27,Sadgope,48.6,OBC
80,27,Sunri,11.9,SC
80,27,Tanti,10.4,OBC
80,27,Teli,3.5,OBC
80,27,Yadav,146.2,OBC
80,28,Bagdi,3,SC
80,28,Baniya,24.6,GEN
80,28,Bhumij,74.4,ST
80,28,Brahmin,96.67,GEN
80,28,Dhobi,8,SC
80,28,Hari,10,SC
80,28,Jele,15.8,SC
80,28,Karmakar,25,SC
80,28,Kayastha,104.6158,GEN
80,28,Kumor,9,GEN
80,28,Mahishya,51.25556,GEN
80,28,Marwari,19,GEN
80,28,Muslim,66,Muslim
80,28,Namasudra,176.8487,SC
80,28,Odiya,1,GEN
80,28,Paundra,60.98,SC
80,28,Purvanchali,10.9,GEN
80,28,Rajbongshi,6,SC
80,28,Sadgope,7.6,OBC
80,28,Santhal,2,ST
80,28,Sunri,58.9,SC
80,28,Tanti,4.4,OBC
80,28,Teli,1.5,OBC
80,28,Yadav,25.4,OBC
80,28,baishya,0.13,GEN
80,29,Baniya,22.2,GEN
80,29,Brahmin,54.77,GEN
80,29,Jele,4,SC
80,29,Karmakar,53,SC
80,29,Kayastha,31.56316,GEN
80,29,Kumor,2.4,GEN
80,29,Mahishya,16.22222,GEN
80,29,Marwari,7,GEN
80,29,Muslim,33,Muslim
80,29,Namasudra,91.77462,SC
80,29,Paundra,8.24,SC
80,29,Purvanchali,4,GEN
80,29,Rajbongshi,9.5,SC
80,29,Sadgope,12.2,OBC
80,29,Sunri,53.3,SC
80,29,Sutradhar,10,OBC
80,29,Tanti,0.8,OBC
80,29,Teli,1.5,OBC
80,29,Yadav,37.4,OBC
80,29,baishya,0.13,GEN
80,30,Bagdi,6.6,SC
80,30,Bairagi,9,SC
80,30,Baniya,0.3,GEN
80,30,Brahmin,65.09,GEN
80,30,Jele,0.4,SC
80,30,Karmakar,64,SC
80,30,Kayastha,115.25,GEN
80,30,Kumor,14.4,GEN
80,30,Mahishya,47.21111,GEN
80,30,Marwari,63.2,GEN
80,30,Muslim,50,Muslim
80,30,Namasudra,24.38889,SC
80,30,Purvanchali,43.75,GEN
80,30,Raju,1.2,OBC
80,30,Sadgope,21.6,OBC
80,30,Sunri,2.7,SC
80,30,Tanti,1.6,OBC
80,30,Teli,4.2,OBC
80,30,Yadav,69.2,OBC
80,30,baishya,0.91,GEN
80,31,Bagdi,1.2,SC
80,31,Baniya,20.9,GEN
80,31,Bhumij,4.2,ST
80,31,Brahmin,52.2,GEN
80,31,Jele,3,SC
80,31,Karmakar,8,SC
80,31,Kayastha,63.85526,GEN
80,31,Kumor,2.4,GEN
80,31,Mahishya,60.57778,GEN
80,31,Muslim,125,Muslim
80,31,Nai,3,OBC
80,31,Namasudra,208.497,SC
80,31,Paundra,10.62,SC
80,31,Purvanchali,16.45,GEN
80,31,Rajbongshi,10,SC
80,31,Sadgope,0.8,OBC
80,31,Sunri,30.1,SC
80,31,Yadav,3.2,OBC
80,32,Kayastha,13.2,GEN
80,32,Mahishya,8.8,GEN
80,32,Muslim,1118,Muslim
80,33,Muslim,949,Muslim
80,34,Mahishya,1.555556,GEN
80,34,Muslim,1098,Muslim
80,34,Namasudra,10.44444,SC
80,35,Bagdi,0.2,SC
80,35,Mahishya,2.222222,GEN
80,35,Muslim,935,Muslim
80,35,Namasudra,9.777778,SC
80,35,Raju,0.4,OBC
80,35,Teli,0.4,OBC
80,36,Brahmin,0.2,GEN
80,36,Mahishya,1.022222,GEN
80,36,Muslim,982,Muslim
80,36,Namasudra,0.777778,SC
80,37,Bhumij,0.6,ST
80,37,Kayastha,2,GEN
80,37,Mahishya,2.888889,GEN
80,37,Muslim,1109,Muslim
80,37,Namasudra,14.11111,SC
80,37,Paundra,0.4,SC
80,38,Barui,15,SC
80,38,Bauri,10,SC
80,38,Bhumij,105,ST
80,38,Brahmin,38.4,GEN
80,38,Kayastha,47.71579,GEN
80,38,Kumor,1.8,GEN
80,38,Mahishya,67.91111,GEN
80,38,Muslim,527,Muslim
80,38,Namasudra,177.7731,SC
80,38,Napit,1,SC
80,38,Paundra,71,SC
80,38,Purvanchali,1,GEN
80,38,Rajbongshi,10,SC
80,38,Rajput,9,GEN
80,38,Sadgope,0.2,OBC
80,38,Yadav,1.2,OBC
80,39,Bairagi,7,SC
80,39,Baniya,5.7,GEN
80,39,Brahmin,104.2,GEN
80,39,Hari,16,SC
80,39,Jele,3.2,SC
80,39,Karmakar,7,SC
80,39,Kayastha,113,GEN
80,39,Mahishya,90.53333,GEN
80,39,Mali,1,OBC
80,39,Muslim,1,Muslim
80,39,Namasudra,523.9067,SC
80,39,Napit,1.8,SC
80,39,Paundra,41.96,SC
80,39,Purvanchali,53.8,GEN
80,39,Sadgope,62.4,OBC
80,39,Sunri,13.3,SC
80,39,Yadav,187.2,OBC
80,40,Baniya,0.3,GEN
80,40,Kayastha,1,GEN
80,40,Mahishya,4,GEN
80,40,Muslim,702,Muslim
80,40,Namasudra,15,SC
80,40,Sunri,0.7,SC
80,41,Mahishya,0.222222,GEN
80,41,Muslim,801,Muslim
80,41,Namasudra,1.777778,SC
80,42,Bagdi,7,SC
80,42,Barui,31,SC
80,42,Bauri,13,SC
80,42,Brahmin,159.47,GEN
80,42,Kayastha,92.71579,GEN
80,42,Kumor,2.4,GEN
80,42,Mahishya,73.24444,GEN
80,42,Nai,2,OBC
80,42,Namasudra,281.3398,SC
80,42,Paundra,5,SC
80,42,Purvanchali,17.2,GEN
80,42,Rajbongshi,21.5,SC
80,42,Yadav,0.4,OBC
80,42,baishya,15.73,GEN
80,43,Barui,22,SC
80,43,Bauri,15,SC
80,43,Brahmin,144.62,GEN
80,43,Jele,1.8,SC
80,43,Kayastha,131.1947,GEN
80,43,Mahishya,112.7,GEN
80,43,Muslim,3,Muslim
80,43,Namasudra,593.2053,SC
80,43,Purvanchali,1,GEN
80,43,Rajbongshi,22,SC
80,43,Rajput,3,GEN
80,43,baishya,12.48,GEN
80,44,Baniya,4.2,GEN
80,44,Barui,1,SC
80,44,Bauri,9,SC
80,44,Bhumij,2.4,ST
80,44,Brahmin,141.17,GEN
80,44,Dhobi,5,SC
80,44,Hari,5,SC
80,44,Jele,2.6,SC
80,44,Kahar,2,SC
80,44,Karmakar,18,SC
80,44,Kayastha,128.1,GEN
80,44,Mahishya,82.77778,GEN
80,44,Muslim,19,Muslim
80,44,Nai,1,OBC
80,44,Namasudra,405.9822,SC
80,44,Napit,4.2,SC
80,44,Oraon,1,ST
80,44,Paundra,14.04,SC
80,44,Purvanchali,11,GEN
80,44,Rajbongshi,19,SC
80,44,Rajput,2,GEN
80,44,Sadgope,22.8,OBC
80,44,Sunri,9.8,SC
80,44,Tanti,1.6,OBC
80,44,Teli,2.8,OBC
80,44,Yadav,68.4,OBC
80,44,baishya,0.13,GEN
80,45,Brahmin,3,GEN
80,45,Kayastha,4.4,GEN
80,45,Mahishya,1.688889,GEN
80,45,Muslim,815,Muslim
80,45,Namasudra,3.111111,SC
80,45,Purvanchali,2,GEN
80,45,Sadgope,0.2,OBC
80,45,Yadav,0.6,OBC
80,46,Karki,1,ST
80,46,Kayastha,1,GEN
80,46,Muslim,927,Muslim
80,47,Brahmin,2,GEN
80,47,Kayastha,1,GEN
80,47,Muslim,648,Muslim
80,47,Rajbongshi,62,SC
80,47,Tanti,8,OBC
80,48,Kayastha,0.4,GEN
80,48,Kumor,1.2,GEN
80,48,Mal,5,SC
80,48,Muslim,1147,Muslim
80,48,Yadav,0.4,OBC
80,49,Kayastha,15.6,GEN
80,49,Mahishya,0.4,GEN
80,49,Muslim,585,Muslim
80,50,Muslim,625,Muslim
80,51,Bagdi,5,SC
80,51,Baniya,6.9,GEN
80,51,Brahmin,21,GEN
80,51,Karmakar,6,SC
80,51,Kayastha,138.7,GEN
80,51,Mahishya,89.73333,GEN
80,51,Muslim,192,Muslim
80,51,Namasudra,124.3267,SC
80,51,Paundra,22.84,SC
80,51,Purvanchali,10,GEN
80,51,Sadgope,6.6,OBC
80,51,Sunri,16.1,SC
80,51,Yadav,19.8,OBC
80,52,Kayastha,7.8,GEN
80,52,Mahishya,2.933333,GEN
80,52,Muslim,729,Muslim
80,52,Namasudra,9.666667,SC
80,52,Sadgope,0.4,OBC
80,52,Yadav,1.2,OBC
80,53,Baniya,1.2,GEN
80,53,Brahmin,5,GEN
80,53,Kayastha,17.6,GEN
80,53,Kumor,1.8,GEN
80,53,Mahishya,8.666667,GEN
80,53,Muslim,770,Muslim
80,53,Namasudra,13.09333,SC
80,53,Paundra,0.24,SC
80,53,Sadgope,5.8,OBC
80,53,Sunri,2.8,SC
80,53,Yadav,17.8,OBC
80,54,Bagdi,4,SC
80,54,Brahmin,9.6,GEN
80,54,Karmakar,17,SC
80,54,Kayastha,85.8,GEN
80,54,Kumor,18,GEN
80,54,Mahishya,3.2,GEN
80,54,Muslim,233,Muslim
80,54,Namasudra,6.6,SC
80,54,Napit,0.6,SC
80,54,Paundra,1.4,SC
80,54,Purvanchali,35,GEN
80,54,Rajbongshi,4,SC
80,54,Raju,2,OBC
80,54,Sadgope,40.8,OBC
80,54,Tanti,16.8,OBC
80,54,Teli,2,OBC
80,54,Yadav,128.2,OBC
80,55,Baniya,1.8,GEN
80,55,Brahmin,6,GEN
80,55,Dhobi,15,SC
80,55,Hari,18,SC
80,55,Karmakar,1,SC
80,55,Kayastha,3.6,GEN
80,55,Mahishya,0.222222,GEN
80,55,Muslim,490,Muslim
80,55,Namasudra,65.05778,SC
80,55,Paundra,26.22,SC
80,55,Purvanchali,5,GEN
80,55,Rajbongshi,0.5,SC
80,55,Sadgope,0.6,OBC
80,55,Sunri,4.2,SC
80,55,Yadav,1.8,OBC
80,56,Brahmin,0.5,GEN
80,56,Hari,3,SC
80,56,Kayastha,4.2,GEN
80,56,Mahishya,1.555556,GEN
80,56,Muslim,522,Muslim
80,56,Namasudra,24.36444,SC
80,56,Paundra,8.08,SC
80,56,Purvanchali,5.8,GEN
80,56,Rajbongshi,1.5,SC
80,57,Baniya,3,GEN
80,57,Kayastha,10.7,GEN
80,57,Mahishya,3.011111,GEN
80,57,Marwari,1.2,GEN
80,57,Muslim,893,Muslim
80,57,Namasudra,8.888889,SC
80,57,Purvanchali,1.2,GEN
80,57,Sunri,7,SC
80,58,Brahmin,3,GEN
80,58,Kayastha,0.6,GEN
80,58,Mahishya,2.4,GEN
80,58,Muslim,588,Muslim
80,58,Namasudra,1,SC
80,58,Rajbongshi,1,SC
80,59,Bhumij,22.2,ST
80,59,Brahmin,35.97,GEN
80,59,Hari,13,SC
80,59,Kayastha,43.1,GEN
80,59,Mahishya,26.44444,GEN
80,59,Muslim,319,Muslim
80,59,Namasudra,130.6156,SC
80,59,Paundra,39.84,SC
80,59,Purvanchali,7,GEN
80,59,Rajbongshi,0.5,SC
80,59,Sadgope,30.2,OBC
80,59,Tanti,130.4,OBC
80,59,Yadav,90.6,OBC
80,59,baishya,0.13,GEN
80,60,Baniya,4,GEN
80,60,Brahmin,3.5,GEN
80,60,Karmakar,12,SC
80,60,Kayastha,26.7,GEN
80,60,Mahishya,54.4,GEN
80,60,Muslim,865,Muslim
80,60,Namasudra,222.06,SC
80,60,Paundra,0.24,SC
80,60,Purvanchali,1.5,GEN
80,60,Sadgope,3.4,OBC
80,60,Tanti,4,OBC
80,60,Yadav,10.2,OBC
80,61,Bhumij,0.6,ST
80,61,Hadi,1,SC
80,61,Karmakar,11,SC
80,61,Kayastha,21.7,GEN
80,61,Mahishya,9.344444,GEN
80,61,Muslim,946,Muslim
80,61,Namasudra,68.49556,SC
80,61,Paundra,7.46,SC
80,61,Purvanchali,10,GEN
80,61,Sadgope,5.6,OBC
80,61,Yadav,16.8,OBC
80,62,Kayastha,2.1,GEN
80,62,Mahishya,3.955556,GEN
80,62,Muslim,750,Muslim
80,62,Namasudra,31.94444,SC
80,63,Kayastha,0.5,GEN
80,63,Mahishya,4.444444,GEN
80,63,Muslim,569,Muslim
80,63,Namasudra,17.05556,SC
80,64,Muslim,625,Muslim
80,65,Hadi,1,SC
80,65,Mahishya,4.444444,GEN
80,65,Muslim,764,Muslim
80,65,Namasudra,38.07556,SC
80,65,Paundra,0.48,SC
80,66,Mahishya,9.927778,GEN
80,66,Muslim,854,Muslim
80,66,Namasudra,86.62222,SC
80,66,Paundra,0.45,SC
80,67,Baniya,1.2,GEN
80,67,Kayastha,110.6,GEN
80,67,Mahishya,73.95556,GEN
80,67,Muslim,445,Muslim
80,67,Namasudra,22.44444,SC
80,67,Purvanchali,19,GEN
80,67,Sunri,2.8,SC
80,68,Kayastha,2.4,GEN
80,68,Mahishya,1.6,GEN
80,68,Muslim,664,Muslim
80,68,Namasudra,2,SC
80,69,Bagdi,2.4,SC
80,69,Baniya,10.2,GEN
80,69,Bhumij,10.8,ST
80,69,Brahmin,173.8,GEN
80,69,Dhobi,30,SC
80,69,Hari,14,SC
80,69,Jele,2.6,SC
80,69,Karmakar,20,SC
80,69,Kayastha,177.9789,GEN
80,69,Kumor,4.8,GEN
80,69,Mahishya,38.4,GEN
80,69,Marwari,0.4,GEN
80,69,Muslim,24,Muslim
80,69,Namasudra,153.2211,SC
80,69,Napit,6.6,SC
80,69,Paundra,15.2,SC
80,69,Purvanchali,17.1,GEN
80,69,Rajbongshi,15.5,SC
80,69,Sadgope,23.6,OBC
80,69,Santhal,3,ST
80,69,Sunri,56.3,SC
80,69,Tanti,31.2,OBC
80,69,Teli,32.5,OBC
80,69,Yadav,72.4,OBC
80,70,Baniya,6,GEN
80,70,Bhumij,12,ST
80,70,Brahmin,12.6,GEN
80,70,Dhobi,6,SC
80,70,Hari,1,SC
80,70,Kayastha,5.7,GEN
80,70,Mahishya,1.511111,GEN
80,70,Muslim,856,Muslim
80,70,Namasudra,19.18889,SC
80,70,Paundra,8,SC
80,70,Rajbongshi,5,SC
80,70,Sadgope,1,OBC
80,70,Sunri,14,SC
80,70,Yadav,3,OBC
80,71,Bagdi,14.4,SC
80,71,Bhumij,10.2,ST
80,71,Brahmin,17.8,GEN
80,71,Dhobi,3,SC
80,71,Jele,5.4,SC
80,71,Karmakar,22,SC
80,71,Kayastha,106.5,GEN
80,71,Kumor,30.6,GEN
80,71,Mahishya,42.33333,GEN
80,71,Marwari,0.4,GEN
80,71,Muslim,113,Muslim
80,71,Namasudra,93.26667,SC
80,71,Napit,1.8,SC
80,71,Paundra,16.8,SC
80,71,Purvanchali,20.8,GEN
80,71,Rajbongshi,13.5,SC
80,71,Sadgope,18,OBC
80,71,Sutradhar,15,OBC
80,71,Tanti,0.8,OBC
80,71,Yadav,63.4,OBC
80,72,Bagdi,6,SC
80,72,Baniya,4.5,GEN
80,72,Bhumij,271.4,ST
80,72,Brahmin,2,GEN
80,72,Hari,26,SC
80,72,Jele,3,SC
80,72,Kayastha,7.789474,GEN
80,72,Mahishya,2.8,GEN
80,72,Muslim,8,Muslim
80,72,Namasudra,48.01053,SC
80,72,Paundra,191.4,SC
80,72,Purvanchali,3.2,GEN
80,72,Sadgope,0.4,OBC
80,72,Santhal,1,ST
80,72,Sunri,10.5,SC
80,72,Tanti,0.8,OBC
80,72,Yadav,1.2,OBC
80,73,Baniya,27.3,GEN
80,73,Brahmin,50,GEN
80,73,Dhobi,33,SC
80,73,Hari,5,SC
80,73,Jele,11.8,SC
80,73,Karmakar,31,SC
80,73,Kayastha,71.67895,GEN
80,73,Kumor,14.4,GEN
80,73,Mahishya,21.57778,GEN
80,73,Marwari,1,GEN
80,73,Muslim,285,Muslim
80,73,Nai,5,OBC
80,73,Namasudra,115.0633,SC
80,73,Napit,0.4,SC
80,73,Paundra,5.98,SC
80,73,Purvanchali,15,GEN
80,73,Rajbongshi,2.5,SC
80,73,Raju,0.6,OBC
80,73,Sadgope,4.2,OBC
80,73,Santhal,2,ST
80,73,Sunri,56.2,SC
80,73,Tanti,4,OBC
80,73,Teli,6.5,OBC
80,73,Yadav,16.8,OBC
80,74,Jele,1.6,SC
80,74,Karmakar,5,SC
80,74,Kayastha,8.8,GEN
80,74,Mahishya,1.333333,GEN
80,74,Muslim,1028,Muslim
80,74,Namasudra,14.46667,SC
80,74,Purvanchali,4,GEN
80,74,Sadgope,3.8,OBC
80,74,Teli,0.6,OBC
80,74,Yadav,11.4,OBC
80,75,Baniya,1.1,GEN
80,75,Brahmin,0.5,GEN
80,75,Kayastha,1,GEN
80,75,Mahishya,1.111111,GEN
80,75,Muslim,432,Muslim
80,75,Namasudra,5.888889,SC
80,75,Purvanchali,1,GEN
80,75,Sunri,1.4,SC
80,76,Kayastha,0.1,GEN
80,76,Mahishya,1.288889,GEN
80,76,Muslim,1055,Muslim
80,76,Namasudra,9.611111,SC
80,77,Mahishya,0.444444,GEN
80,77,Muslim,649,Muslim
80,77,Namasudra,3.555556,SC
80,78,Kayastha,0.6,GEN
80,78,Mahishya,3.288889,GEN
80,78,Muslim,527,Muslim
80,78,Namasudra,7.111111,SC
80,79,Muslim,648,Muslim
80,80,Hari,48,SC
80,80,Kayastha,153.9,GEN
80,80,Mahishya,74.48889,GEN
80,80,Muslim,2,Muslim
80,80,Namasudra,163.2111,SC
80,80,Napit,0.6,SC
80,80,Paundra,29.4,SC
80,80,Rajbongshi,111,SC
80,80,Sadgope,101.6,OBC
80,80,Yadav,304.8,OBC
80,81,Hari,2,SC
80,81,Kayastha,1.2,GEN
80,81,Mahishya,0.4,GEN
80,81,Muslim,450,Muslim
80,81,Sadgope,0.6,OBC
80,81,Yadav,1.8,OBC
80,82,Kayastha,28.8,GEN
80,82,Mahishya,54.62222,GEN
80,82,Muslim,630,Muslim
80,82,Namasudra,168.3778,SC
80,82,Napit,1.2,SC
80,82,Paundra,0.8,SC
80,82,Purvanchali,8,GEN
80,82,Rajbongshi,157,SC
80,82,Sadgope,13.8,OBC
80,82,Yadav,41.4,OBC
80,83,Bairagi,2,SC
80,83,Baniya,1,GEN
80,83,Brahmin,6,GEN
80,83,Hari,2,SC
80,83,Karmakar,33,SC
80,83,Kayastha,59.6,GEN
80,83,Mahishya,11.64444,GEN
80,83,Muslim,311,Muslim
80,83,Namasudra,33.55556,SC
80,83,Napit,1.2,SC
80,83,Paundra,1.8,SC
80,83,Purvanchali,6,GEN
80,83,Sadgope,29.8,OBC
80,83,Yadav,89.4,OBC
80,84,Bagdi,5.4,SC
